,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New York,40.7143,-74.006,76.05,68,1,1.01,US,1627185293
1,Paris,48.8534,2.3488,65.77,88,90,1.01,FR,1627185130
2,Tokyo,35.6895,139.6917,95.52,46,20,3.0,JP,1627185337
3,Mumbai,19.0144,72.8479,84.18,89,75,8.05,IN,1627185279
